jogo_id,titulo,data_lancamento,win,mac,linux,avaliacao,feedback_positivo,qtd_avaliacoes,preco_final,preco_original,desconto,descricao,tags
10180,Call of Duty®: Modern Warfare® 2 (2009),2009-11-11,True,True,False,Very Positive,93,26786,19.99,19.99,0.0,"The most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, Modern Warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse.","['Action', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'Singleplayer', 'War', 'Military', 'Co-op', 'Online Co-Op', 'PvP', 'Great Soundtrack', 'Story Rich', 'Atmospheric', 'Adventure', 'Tactical', 'Controller', 'Linear', 'Strategy', 'Moddable']"
15130,Beyond Good and Evil™,2008-05-13,True,False,False,Very Positive,86,2806,9.99,9.99,0.0,"Play as Jade, a young investigative reporter, and expose a terrible government conspiracy. It is up to you and your loyal pig friend Pey'j to save your planet and its inhabitants.","['Adventure', 'Female Protagonist', 'Action', 'Third Person', 'Cult Classic', 'Stealth', 'Singleplayer', 'Classic', 'Sci-fi', 'Action-Adventure', 'Great Soundtrack', 'Story Rich', 'Open World', 'Emotional', 'Dystopian', 'Platformer', 'Atmospheric', 'Exploration', 'Conspiracy', 'Aliens']"
364360,Total War: WARHAMMER,2016-05-24,True,True,True,Mostly Positive,79,30157,59.99,59.99,0.0,"Addictive turn-based empire-building with colossal, real-time battles, all set in a world of legendary heroes, giant monsters, flying creatures and storms of magical power.","['Strategy', 'Fantasy', 'RTS', 'War', 'Turn-Based Strategy', 'Games Workshop', 'Grand Strategy', 'Multiplayer', 'Tactical', 'Dark Fantasy', 'Action', 'Singleplayer', 'Turn-Based', 'Atmospheric', 'Co-op', 'Story Rich', 'Open World', 'RPG', 'Gore', 'Warhammer 40K']"
384110,Pathologic Classic HD,2015-10-29,True,False,False,Very Positive,87,2594,12.99,12.99,0.0,"Pathologic Classic HD is the Definitive Edition of the original Cult Classic Psychological First-Person Survival game. In this unforgettable experience, players control one of three unique characters as they try to save a mysterious town from a deadly plague that cannot be stopped.","['Atmospheric', 'Story Rich', 'Survival', 'Psychological Horror', 'Cult Classic', 'First-Person', 'Horror', 'Dark', 'RPG', 'Singleplayer', 'Great Soundtrack', 'Adventure', 'Indie', 'Choices Matter', 'Difficult', 'Classic', 'Open World', 'Action', 'Mature', 'Walking Simulator']"
387340,Hyperdimension Neptunia U: Action Unleashed,2016-03-21,True,False,False,Very Positive,92,2489,14.99,14.99,0.0,"Choose your tag team and rip through massive hordes of enemies with exciting aerial and ground-based combos. Look out, though - take too many hits and your clothes and defense will end up shredded!","['Anime', 'Female Protagonist', 'Hack and Slash', 'Action', 'JRPG', 'RPG', 'Nudity', 'Cute', 'Singleplayer', ""Beat 'em up"", 'Comedy', 'Mature', 'Funny', 'Visual Novel', 'Sexual Content', 'Memes', 'Great Soundtrack', 'Adventure', 'Story Rich', 'Casual']"
984680,Interstellar Space: Genesis,2019-07-25,True,False,False,Very Positive,82,538,29.99,29.99,0.0,"Interstellar Space: Genesis is a turn-based space 4X strategy game in which you attempt to build a thriving galactic empire. Discover mysteries among the stars, colonize worlds, and engage enemies in tactical turn-based combat on your journey to becoming the ruler of the galaxy!","['Indie', 'Strategy', '4X', 'Sci-fi', 'Space', 'Turn-Based', 'Turn-Based Strategy', 'Singleplayer', 'Grand Strategy', 'Turn-Based Tactics', 'Exploration', 'Turn-Based Combat', 'Great Soundtrack', 'Replay Value', 'Futuristic', 'War', 'Procedural Generation', 'Military', 'Sandbox', 'Open World']"
1724440,Epic Fantasy Battle Simulator,2021-08-30,True,False,False,Very Positive,91,264,9.99,9.99,0.0,"Welcome to Epic Fantasy Battle Simulator, the most immersive medieval battle simulator to date! Throw tens of thousands of soldiers into battle, enjoy the show, or take control of one of them to prove your valor! The only limit is your imagination! Or maybe your CPU?","['Early Access', 'Action', 'Simulation', 'Sandbox', 'Strategy', 'Action RTS', 'RTS', 'Singleplayer', 'Third Person', 'Medieval', 'Swordplay', 'War', 'Horses', '3D', 'Realistic', 'Fantasy', 'Dark Fantasy', 'Archery', 'Demons', 'Dragons']"
1824220,Chivalry 2,2022-06-12,True,False,False,Very Positive,82,19331,39.99,39.99,0.0,"Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles. Players are thrust into the action of every iconic moment of the era - from clashing swords, to storms of flaming arrows, to sprawling castle sieges and more.","['Medieval', 'Multiplayer', 'Swordplay', 'Action', 'Combat', 'Wargame', 'Hack and Slash', 'First-Person', 'War', 'FPS', '3D', 'Third Person', 'Military', 'Atmospheric', 'Comedy', 'Historical', '3D Fighter', 'Tactical', 'Gore', 'Character Customization']"
1961460,PROJECT: PLAYTIME,2022-12-12,True,False,False,Mostly Positive,77,21762,0.0,0.0,0.0,PROJECT: PLAYTIME is a Free-to-Play multiplayer horror game where six players attempt to create one giant toy while surviving a terrifying monster that roams the toy factory. A seventh player controls the monster and is given only one goal: Find and kill everyone.,"['Multiplayer', 'Survival Horror', 'Horror', 'Romance', 'Team-Based', 'Online Co-Op', 'Puzzle', '3D', 'Cute', 'Character Customization', 'First-Person', 'Dark', 'Psychological Horror', 'Lore-Rich', 'Action', 'Atmospheric', 'Exploration', 'Early Access', 'Third Person', 'Realistic']"
33100,Alien Shooter,2009-05-27,True,False,False,Overwhelmingly Positive,95,2473,4.99,4.99,0.0,Your mission is simple: clear the base at all costs. You will be provided with explosives to help you gain access to the teleports from where thousands of pitiless creatures pour.,"['Shooter', 'Action', 'Blood', 'Aliens', 'Horror', 'Gore', 'Action RPG', 'Top-Down', 'Sci-fi', 'Singleplayer', 'Isometric', 'RPG', ""Beat 'em up"", 'Looter Shooter', 'Top-Down Shooter', 'Indie', 'Arcade', 'Atmospheric', 'Arena Shooter', 'Roguelike']"
